lgb,xgboost,RF,Adaboost,extratree,col_prefix,has_power_tf,has_scaler_tf,has_pca
0.8715046296296297,0.8796097883597883,0.8636458333333332,0.8653141534391535,0.8504083994708994,"('fe0__',)",0,0,0
0.8604183201058202,0.8601289682539682,0.8529877645502645,0.8463955026455027,0.8399487433862434,"('fe0__',)",0,0,0
0.858467261904762,0.8645486111111111,0.8502529761904762,0.8612251984126983,0.8433349867724869,"('fe0__',)",0,0,0
0.872130670449998,0.878470396423032,0.8726713826026279,0.8645772358530188,0.8620704480139162,"('fe0__',)",0,0,0
0.87008357061833,0.8784902390708349,0.8621465114971607,0.8671848904851196,0.8494521775652409,"('fe0__',)",0,0,0
0.8310433201058202,0.8162169312169312,0.8070502645502646,0.782161044973545,0.7908002645502645,"('fe0__',)",0,0,1
0.8141517857142857,0.807066798941799,0.8084507275132276,0.773587962962963,0.8005720899470898,"('fe0__',)",0,0,1
0.8144212962962963,0.8068138227513227,0.7978571428571428,0.7625479497354497,0.7845122354497355,"('fe0__',)",0,0,1
0.8433389884879571,0.8369909947450054,0.8242933537051185,0.808071989126229,0.8054643344941281,"('fe0__',)",0,0,1
0.8470429494111694,0.839678019968318,0.8132922590523812,0.8012295827421878,0.791094950376845,"('fe0__',)",0,0,1
0.876167328042328,0.8796097883597883,0.8680638227513228,0.8657738095238097,0.8460582010582011,"('fe0__',)",0,1,0
0.8589550264550265,0.8601289682539682,0.8503935185185185,0.8463955026455027,0.8417559523809522,"('fe0__',)",0,1,0
0.860448082010582,0.8645618386243386,0.8519890873015873,0.8595138888888889,0.8413376322751323,"('fe0__',)",0,1,0
0.8723853177634692,0.8780834647908751,0.8693295500018189,0.8654321232625282,0.8628525790481482,"('fe0__',)",0,1,0
0.8681224555938079,0.8785497670142437,0.8619431243571809,0.8671848904851196,0.8508775410990843,"('fe0__',)",0,1,0
0.8270105820105821,0.8336871693121692,0.8306035052910052,0.806780753968254,0.8161722883597884,"('fe0__',)",0,1,1
0.8161987433862434,0.8152397486772487,0.8101851851851853,0.795907738095238,0.8054695767195768,"('fe0__',)",0,1,1
0.8050413359788359,0.8135615079365078,0.806359126984127,0.7913839285714286,0.8038525132275133,"('fe0__',)",0,1,1
0.8262776184854106,0.8141636820017263,0.8193376524163385,0.791610859219721,0.8188101686955774,"('fe0__',)",0,1,1
0.8281593629187212,0.8271060490311826,0.833713650749556,0.8041266093214146,0.8181371722242617,"('fe0__',)",0,1,1
0.8715046296296297,0.8796097883597883,0.8667013888888888,0.8653141534391535,0.846750992063492,"('fe0__',)",1,0,0
0.8604183201058202,0.8601289682539682,0.8499189814814815,0.8463955026455027,0.8418501984126985,"('fe0__',)",1,0,0
0.858467261904762,0.8645486111111111,0.8531464947089947,0.8612251984126983,0.842116402116402,"('fe0__',)",1,0,0
0.872130670449998,0.878470396423032,0.8725225627441059,0.8645772358530188,0.8623614735150259,"('fe0__',)",1,0,0
0.87008357061833,0.8784902390708349,0.8619695812209182,0.8671848904851196,0.8491380023083612,"('fe0__',)",1,0,0
0.8310433201058202,0.8162169312169312,0.8076438492063492,0.782161044973545,0.790135582010582,"('fe0__',)",1,0,1
0.8141517857142857,0.807066798941799,0.8085565476190476,0.773587962962963,0.7974801587301588,"('fe0__',)",1,0,1
0.8144212962962963,0.8068138227513227,0.7986210317460318,0.7625479497354497,0.7843303571428573,"('fe0__',)",1,0,1
0.8433389884879571,0.8369909947450054,0.823122637484746,0.808071989126229,0.8081149815298019,"('fe0__',)",1,0,1
0.8470429494111694,0.839678019968318,0.8125597346376567,0.8012295827421878,0.7897671465280328,"('fe0__',)",1,0,1
0.8751388888888889,0.8796097883597883,0.8664103835978837,0.8657738095238097,0.8473958333333332,"('fe0__',)",1,1,0
0.8617493386243387,0.8601289682539682,0.8515856481481483,0.8463955026455027,0.8397718253968253,"('fe0__',)",1,1,0
0.8605638227513227,0.8646114417989418,0.8526140873015873,0.8612251984126983,0.8430059523809524,"('fe0__',)",1,1,0
0.8740024935594073,0.878470396423032,0.8680844238521854,0.8645772358530188,0.8643771558210063,"('fe0__',)",1,1,0
0.8691278164158225,0.8784902390708349,0.860094451003542,0.8672378042125941,0.8501962768578506,"('fe0__',)",1,1,0
0.6935830026455025,0.6963624338624339,0.6818138227513227,0.6790228174603175,0.6715128968253967,"('fe0__',)",1,1,1
0.6984242724867725,0.6970304232804232,0.6763409391534392,0.6984292328042329,0.670203373015873,"('fe0__',)",1,1,1
0.704796626984127,0.7118584656084657,0.6915277777777779,0.7040228174603175,0.6747900132275133,"('fe0__',)",1,1,1
0.7208519771544983,0.7136904348516265,0.714356817107008,0.7058790458332094,0.7086983553752079,"('fe0__',)",1,1,1
0.7238796344984275,0.714341935121156,0.6986364793851424,0.7035657238101855,0.6897337447375644,"('fe0__',)",1,1,1
0.8565443121693121,0.8669907407407408,0.8532738095238095,0.855029761904762,0.8381597222222222,"('fe1__',)",0,0,0
0.8315972222222222,0.846208664021164,0.8407539682539683,0.8402910052910053,0.8327777777777777,"('fe1__',)",0,0,0
